entity_id,state,last_changed
sensor.solarbank_3_e2700_pro_ac_hausabgabe,387,2025-11-22T15:51:17.565Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,437,2025-11-22T15:56:43.549Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,801,2025-11-22T16:01:44.570Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,449,2025-11-22T16:07:10.576Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,434,2025-11-22T16:12:10.564Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,435,2025-11-22T16:21:36.559Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,382,2025-11-22T16:27:02.579Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,789,2025-11-22T16:32:05.592Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,792,2025-11-22T16:37:31.585Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,795,2025-11-22T16:42:32.553Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,793,2025-11-22T16:47:58.598Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,794,2025-11-22T16:51:58.561Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,796,2025-11-22T17:02:24.590Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,791,2025-11-22T17:07:51.419Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,793,2025-11-22T17:11:51.568Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,314,2025-11-22T17:16:51.640Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,295,2025-11-22T17:22:18.630Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,296,2025-11-22T17:27:20.603Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,354,2025-11-22T17:32:46.565Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,296,2025-11-22T17:37:46.554Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,384,2025-11-22T17:42:12.554Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,360,2025-11-22T17:47:12.549Z
